Date,Close/Last,Volume,Open,High,Low
8/17/2022,$241.15 ,5627224,$241.18 ,$244.24 ,$237.56 
8/16/2022,$245.69 ,5136806,$247.16 ,$249.29 ,$244.03 
8/15/2022,$249.11 ,6527391,$248.11 ,$251.99 ,$247.51 
8/12/2022,$249.30 ,6098531,$244.81 ,$249.41 ,$243.76 
8/11/2022,$242.70 ,8780062,$244.68 ,$251.62 ,$241.51 
8/10/2022,$244.11 ,9254760,$236.99 ,$244.54 ,$236.60 
8/9/2022,$229.94 ,6181194,$231.62 ,$232.20 ,$224.65 
8/8/2022,$233.49 ,10997410,$227.49 ,$241.96 ,$226.41 
8/5/2022,$226.78 ,5539733,$225.30 ,$228.62 ,$222.87 
8/4/2022,$229.91 ,7142741,$227.68 ,$232.07 ,$225.05 
8/3/2022,$226.73 ,6400701,$224.79 ,$228.10 ,$222.42 
8/2/2022,$221.42 ,6361327,$222.76 ,$228.20 ,$220.88 
8/1/2022,$226.21 ,5525044,$223.10 ,$228.39 ,$221 
7/29/2022,$224.90 ,9064937,$223.29 ,$230.75 ,$222.40 
7/28/2022,$226.02 ,8972738,$224.60 ,$228.10 ,$219.67 
7/27/2022,$226.75 ,10508390,$216.48 ,$227.78 ,$214.58 
7/26/2022,$213.91 ,9508532,$216.66 ,$219.39 ,$211.64 
7/25/2022,$218.51 ,10935250,$221.31 ,$225.23 ,$216.35 
7/22/2022,$220.44 ,17805450,$222.38 ,$229.35 ,$218.44 
7/21/2022,$223.88 ,23430120,$214.30 ,$224.32 ,$211.50 
7/20/2022,$216.44 ,53920270,$208.17 ,$216.97 ,$200.10 
7/19/2022,$201.63 ,28178720,$193.02 ,$201.97 ,$188.40 
7/18/2022,$190.92 ,16322850,$192.50 ,$199.67 ,$189.80 
7/15/2022,$189.11 ,16319120,$175.58 ,$189.22 ,$174.56 
7/14/2022,$174.78 ,9039457,$175.56 ,$177.52 ,$171.82 
7/13/2022,$176.56 ,12734420,$170.50 ,$179.18 ,$169.70 
7/12/2022,$174.45 ,6845264,$177.33 ,$179.78 ,$173.42 
7/11/2022,$177.34 ,6048447,$184.73 ,$184.99 ,$176.89 
7/8/2022,$186.98 ,5835680,$186.02 ,$189.91 ,$182.75 
7/7/2022,$189.27 ,6334545,$184.27 ,$190.21 ,$183.50 
7/6/2022,$184.06 ,5753385,$185.20 ,$186.22 ,$180.82 
7/5/2022,$185.88 ,7339023,$176.28 ,$185.92 ,$172.68 
7/1/2022,$179.95 ,5201583,$176.49 ,$180.10 ,$174.27 
6/30/2022,$174.87 ,7894710,$177.07 ,$179.45 ,$170.30 
6/29/2022,$178.36 ,5766847,$179.55 ,$180.67 ,$175.10 
6/28/2022,$179.60 ,7201897,$189.20 ,$192.20 ,$179.37 
6/27/2022,$189.14 ,8363879,$191.77 ,$191.78 ,$182.39 
6/24/2022,$190.85 ,12423970,$183.50 ,$191.19 ,$181.84 
6/23/2022,$181.71 ,9538226,$180.50 ,$182.76 ,$175.87 
6/22/2022,$178.89 ,12010620,$170.75 ,$182.82 ,$170.20 
6/21/2022,$170.91 ,12177590,$177.60 ,$178.62 ,$169.80 
6/17/2022,$175.51 ,12133370,$173.63 ,$179.65 ,$173.34 
6/16/2022,$173.35 ,8201306,$174 ,$176.27 ,$171.56 
6/15/2022,$180.11 ,12396040,$169.26 ,$183.85 ,$168.53 
6/14/2022,$167.54 ,11555320,$169.75 ,$172.06 ,$164.28 
6/13/2022,$169.69 ,10222410,$177.07 ,$179.09 ,$168.96 
6/10/2022,$182.94 ,13074280,$182.64 ,$185.86 ,$180.85 
6/9/2022,$192.77 ,6948967,$200.65 ,$201.69 ,$192.54 
6/8/2022,$202.83 ,7244121,$197.95 ,$207.38 ,$197.64 
6/7/2022,$198.61 ,4839491,$194.87 ,$199.60 ,$193 
6/6/2022,$197.14 ,5372043,$202.09 ,$203.87 ,$195.38 
6/3/2022,$198.98 ,7191775,$200.14 ,$202.95 ,$198.05 
6/2/2022,$205.09 ,9623121,$192.02 ,$205.47 ,$191.72 
6/1/2022,$192.91 ,8416151,$198.70 ,$202.74 ,$191.66 
5/31/2022,$197.44 ,11398460,$196.18 ,$199.95 ,$190.80 
5/27/2022,$195.19 ,8585987,$193.19 ,$195.25 ,$190.37 
5/26/2022,$191.40 ,8049933,$186.49 ,$192.34 ,$183.09 
5/25/2022,$187.83 ,8522092,$180.28 ,$188.87 ,$180.17 
5/24/2022,$180.34 ,7706372,$182 ,$184 ,$177.17 
5/23/2022,$187.44 ,9602027,$186.15 ,$187.66 ,$177.89 
5/20/2022,$186.35 ,10429400,$185.87 ,$190.19 ,$179.77 
5/19/2022,$183.48 ,10448510,$178.05 ,$186.30 ,$175.71 
5/18/2022,$177.19 ,9665632,$186.72 ,$187.70 ,$176.27 
5/17/2022,$190.56 ,9876685,$189.17 ,$191.40 ,$185.17 
5/16/2022,$186.51 ,16145010,$193.30 ,$195.89 ,$185.70 
5/13/2022,$187.64 ,13136330,$177.16 ,$187.77 ,$176.01 
5/12/2022,$174.31 ,17662120,$163.96 ,$177.58 ,$162.71 
5/11/2022,$166.37 ,12665520,$176.09 ,$180.92 ,$165.55 
5/10/2022,$177.66 ,13883910,$176.01 ,$181.87 ,$170.57 
5/9/2022,$173.10 ,14031330,$177.66 ,$183.20 ,$172.30 
5/6/2022,$180.97 ,17185480,$186.75 ,$187.21 ,$175.81 
5/5/2022,$188.32 ,13971330,$200.45 ,$200.71 ,$186 
5/4/2022,$204.01 ,12218780,$197.65 ,$204.38 ,$191.01 
5/3/2022,$199.87 ,11839430,$198.29 ,$203.20 ,$194.77 
5/2/2022,$199.46 ,14591600,$191.71 ,$200.21 ,$190.01 
4/29/2022,$190.36 ,16391890,$198.68 ,$204.71 ,$190 
4/28/2022,$199.52 ,21363160,$191.56 ,$201.48 ,$185.60 
4/27/2022,$188.54 ,22298390,$194.01 ,$200.19 ,$187.77 
4/26/2022,$198.40 ,20318090,$208.80 ,$209.15 ,$198.28 
4/25/2022,$209.91 ,28152050,$213.81 ,$216.66 ,$204.51 
4/22/2022,$215.52 ,37515130,$220.18 ,$226.27 ,$210.05 
4/21/2022,$218.22 ,53501600,$220 ,$227.68 ,$211.52 
4/20/2022,$226.19 ,133387500,$245.20 ,$248.70 ,$212.51 
4/19/2022,$348.61 ,20906890,$333.22 ,$351.68 ,$333.22 
4/18/2022,$337.86 ,5105041,$340 ,$342.36 ,$331.62 
4/14/2022,$341.13 ,4343837,$350.95 ,$352 ,$339.86 
4/13/2022,$350.43 ,3230950,$343.92 ,$352 ,$341.16 
4/12/2022,$344.10 ,3824261,$355.91 ,$359.41 ,$342.25 
4/11/2022,$348 ,3777096,$350 ,$354.78 ,$345.20 
4/8/2022,$355.88 ,4025183,$361.96 ,$362.50 ,$354.87 
4/7/2022,$362.15 ,4948909,$365 ,$368.54 ,$353.69 
4/6/2022,$368.35 ,4354885,$374.15 ,$376.47 ,$362.73 
4/5/2022,$380.15 ,4234508,$389.30 ,$390 ,$377.31 
4/4/2022,$391.50 ,7009235,$373.55 ,$396.02 ,$373.13 
4/1/2022,$373.47 ,4644237,$376.80 ,$380.87 ,$368.50 
3/31/2022,$374.59 ,4134720,$383.59 ,$384 ,$373.61 
3/30/2022,$381.47 ,4023301,$389.55 ,$392.70 ,$378.63 
3/29/2022,$391.82 ,5880723,$384.39 ,$396.50 ,$380.33 
3/28/2022,$378.51 ,4323435,$375.23 ,$380.28 ,$366.73 
3/25/2022,$373.85 ,3575953,$377.07 ,$377.64 ,$366.43 
3/24/2022,$375.71 ,3888461,$379.76 ,$379.76 ,$368.90 
3/23/2022,$374.49 ,3728954,$379.77 ,$382.46 ,$374.49 
3/22/2022,$382.92 ,4242762,$371.14 ,$386.66 ,$366.76 
3/21/2022,$374.59 ,4866463,$378.02 ,$381.82 ,$368.94 
3/18/2022,$380.60 ,8324825,$372 ,$381.80 ,$368.47 
3/17/2022,$371.40 ,5818348,$359.70 ,$373.31 ,$354.88 
3/16/2022,$357.53 ,6982469,$348.20 ,$359.99 ,$343.06 
3/15/2022,$343.75 ,5460640,$335.10 ,$345.36 ,$332.36 
3/14/2022,$331.01 ,5907817,$338.72 ,$341.32 ,$329.82 
3/11/2022,$340.32 ,4819925,$361.19 ,$363.36 ,$340 
3/10/2022,$356.77 ,4807767,$356.20 ,$367.02 ,$353.30 
3/9/2022,$358.79 ,6520186,$357.69 ,$364.14 ,$350.51 
3/8/2022,$341.76 ,6428655,$349.80 ,$358.86 ,$340.67 
3/7/2022,$350.26 ,5708383,$360.41 ,$362.00 ,$350.20 
3/4/2022,$361.73 ,5329180,$368 ,$374.82 ,$357.17 
3/3/2022,$368.07 ,6076836,$386 ,$386.12 ,$364.65 
3/2/2022,$380.03 ,5356809,$388.93 ,$389.22 ,$375.21 
3/1/2022,$386.24 ,3290439,$391.60 ,$395 ,$383.71 
2/28/2022,$394.52 ,5035046,$387.33 ,$397.75 ,$382.13 
2/25/2022,$390.80 ,4841636,$386.61 ,$391.29 ,$375.58 
2/24/2022,$390.03 ,7068724,$355.09 ,$390.73 ,$354.72 
2/23/2022,$367.46 ,4614290,$382.72 ,$386 ,$366.66 
2/22/2022,$377.38 ,6697515,$388.95 ,$392.42 ,$373.02 
2/18/2022,$391.29 ,6801668,$392.53 ,$402.87 ,$389.05 
2/17/2022,$386.67 ,4669222,$394.24 ,$399.11 ,$385.70 
2/16/2022,$398.08 ,5277650,$401.53 ,$401.56 ,$390.38 
2/15/2022,$407.46 ,5395641,$403.79 ,$409.16 ,$401.01 
2/14/2022,$396.57 ,7202155,$387.59 ,$409.36 ,$386.89 
2/11/2022,$391.31 ,7558939,$405.33 ,$411.61 ,$387.65 
2/10/2022,$406.27 ,8452915,$402.10 ,$408 ,$396.36 
2/9/2022,$412.89 ,7738227,$408.65 ,$412.98 ,$398.79 
2/8/2022,$403.53 ,6818543,$398.18 ,$406.61 ,$395.83 
2/7/2022,$402.10 ,8232859,$410.17 ,$412.35 ,$393.55 
2/4/2022,$410.17 ,7789798,$407.31 ,$412.77 ,$396.64 
2/3/2022,$405.60 ,9905210,$421.44 ,$429.26 ,$404.28 
2/2/2022,$429.48 ,14346010,$448.25 ,$451.98 ,$426.48 
2/1/2022,$457.13 ,22568100,$432.96 ,$458.48 ,$425.54 
1/31/2022,$427.14 ,20047450,$401.97 ,$427.70 ,$398.20 
1/28/2022,$384.36 ,11966610,$386.76 ,$387 ,$372.08 
1/27/2022,$386.70 ,24324750,$382.06 ,$394.80 ,$378.10 
1/26/2022,$359.70 ,12683980,$378.27 ,$382.66 ,$356.62 
1/25/2022,$366.42 ,15145820,$379.14 ,$387.71 ,$365.13 
1/24/2022,$387.15 ,32386780,$383.91 ,$387.26 ,$351.46 
1/21/2022,$397.50 ,58904270,$400.43 ,$409.15 ,$379.99 
1/20/2022,$508.25 ,12658990,$517.75 ,$526.64 ,$506.93 
1/19/2022,$515.86 ,4353508,$515 ,$523.21 ,$510.51 
1/18/2022,$510.80 ,4844418,$520.08 ,$521.75 ,$508.68 
1/14/2022,$525.69 ,7861109,$517.60 ,$538.37 ,$511.88 
1/13/2022,$519.20 ,4475063,$537.06 ,$540.79 ,$518.26 
1/12/2022,$537.22 ,3787372,$544.27 ,$544.27 ,$532.02 
1/11/2022,$540.84 ,3077836,$536.99 ,$543.91 ,$530.07 
1/10/2022,$539.85 ,4486145,$538.49 ,$543.69 ,$526.32 
1/7/2022,$541.06 ,3382873,$549.46 ,$553.43 ,$538.22 
1/6/2022,$553.29 ,5711795,$554.34 ,$563.36 ,$542.01 
1/5/2022,$567.52 ,4148749,$592 ,$592.84 ,$566.88 
1/4/2022,$591.15 ,4393135,$599.91 ,$600.41 ,$581.60 
1/3/2022,$597.37 ,3068808,$605.61 ,$609.99 ,$590.56 
12/31/2021,$602.44 ,1995918,$610.01 ,$614.08 ,$602.05 
12/30/2021,$612.09 ,1625093,$612.99 ,$620.61 ,$611.24 
12/29/2021,$610.54 ,1287513,$610.71 ,$613.98 ,$604.68 
12/28/2021,$610.71 ,1884116,$614.95 ,$618.41 ,$609.69 
12/27/2021,$613.12 ,2062233,$615 ,$615 ,$609.25 
12/23/2021,$614.09 ,1621146,$616.40 ,$616.88 ,$607.57 
12/22/2021,$614.24 ,2335745,$603.36 ,$614.82 ,$602.63 
12/21/2021,$604.92 ,2319390,$597.54 ,$607.82 ,$593.86 
12/20/2021,$593.74 ,3358404,$586.43 ,$602.88 ,$584.26 
12/17/2021,$586.73 ,4433706,$591.61 ,$593.25 ,$581.74 
12/16/2021,$591.06 ,3143217,$597.09 ,$602.83 ,$588 
12/15/2021,$605.04 ,2866196,$598.18 ,$605.69 ,$584.51 
12/14/2021,$597.99 ,2984536,$598.71 ,$602.29 ,$588.13 
12/13/2021,$604.56 ,2517915,$612 ,$612.64 ,$599.52 
12/10/2021,$611.66 ,2748774,$616.78 ,$617.74 ,$605.88 
12/9/2021,$611 ,2376321,$627.58 ,$630.24 ,$610.44 
12/8/2021,$628.08 ,2220308,$630 ,$632.46 ,$623.20 
12/7/2021,$625.58 ,3125190,$619.83 ,$628.89 ,$611.40 
12/6/2021,$612.69 ,3075672,$606.01 ,$617.29 ,$601 
12/3/2021,$602.13 ,4829282,$622.75 ,$625.50 ,$594 
12/2/2021,$616.47 ,3331131,$617.10 ,$625.36 ,$612.88 
12/1/2021,$617.77 ,3897019,$649.48 ,$654.52 ,$617.07 
11/30/2021,$641.90 ,5608919,$668.20 ,$675.38 ,$640.01 
11/29/2021,$663.84 ,2529364,$663.20 ,$667.99 ,$658.29 
11/26/2021,$665.64 ,2872513,$675 ,$676.41 ,$660.67 
11/24/2021,$658.29 ,1867282,$658.01 ,$661.44 ,$651.10 
11/23/2021,$654.06 ,2320917,$658.18 ,$666.43 ,$646.05 
11/22/2021,$659.20 ,2765318,$676.02 ,$679.48 ,$656.47 
11/19/2021,$678.80 ,2614852,$692.35 ,$694.16 ,$675 
11/18/2021,$682.02 ,2014992,$691.61 ,$691.74 ,$679.74 
11/17/2021,$691.69 ,2732831,$690 ,$700.99 ,$686.09 
11/16/2021,$687.40 ,2077387,$678.27 ,$688.36 ,$676.90 
11/15/2021,$679.33 ,2872186,$681.24 ,$685.26 ,$671.49 
11/12/2021,$682.61 ,4198410,$660.01 ,$683.34 ,$653.82 
11/11/2021,$657.58 ,2868311,$650.24 ,$665.82 ,$649.71 
11/10/2021,$646.91 ,2405785,$653.01 ,$660.33 ,$642.11 
11/9/2021,$655.99 ,2415630,$653.70 ,$660.50 ,$650.52 
11/8/2021,$651.45 ,2887523,$650.29 ,$656 ,$643.79 
